a_1_student_id,a_2_gender,a_3_class_group,average_course_evaluation_rating,sentiment,text,clean_text,dominant_topic,topic_label,topic_probability
1,Male,Group A,4.9091,positive,The teacher was engaging More group time to work on group activities,teacher engaging group time work group activity,3,"Topic 4: topic, lab, data, practical",0.8638144121520565
2,Male,Group A,5.0,positive,Nothing Teaching was on time More quizes,nothing teaching time quiz,4,"Topic 5: lab, module, work, depth",0.79754817668039
3,Male,Group A,3.4545,negative,Well detailed notes Well explained concepts More clear instructions given out during the lab work,well detailed note well explained concept clear instruction given lab work,4,"Topic 5: lab, module, work, depth",0.818350767984928
4,Male,Group A,3.6364,negative,The Lab works and Quizes More engaging lessons,lab work quiz engaging lesson,3,"Topic 4: topic, lab, data, practical",0.8633722539750308
5,Male,Group A,4.6364,positive,Interactive teaching and use of analogies Everything's seemingly fine,interactive teaching use analogy everything seemingly fine,3,"Topic 4: topic, lab, data, practical",0.6338231192316104
6,Male,Group A,3.0,negative,Calm class Introduce small class engagements and all,calm class introduce small class engagement,3,"Topic 4: topic, lab, data, practical",0.7994024972086291
7,Male,Group A,4.3636,neutral,It is involving and practical Relevant in real life application,involving practical relevant real life application,3,"Topic 4: topic, lab, data, practical",0.8649259639087276
8,Male,Group A,4.4545,neutral,"would require more research, not sure of what may be added. none, i believe all topics so far are relevant to the unit relation of content with application to the real world. probably less group work, more individual tasks to push someone to further explore on a certain matter.",would require research sure may added none believe topic far relevant unit relation content application real world probably less group work individual task push someone explore certain matter,1,"Topic 2: content, slide, work, group",0.5238646187877252
9,Male,Group A,4.5455,neutral,"In my opinion, the topics covered are sufficient. They cover practically everything we need to know for business intelligence at this current level. Although I would have loved to spend more time on time-series analysis and forecasting In my opinion, I don't think any topics should be removed I liked the split between the practicals and theory, gave a good way to practice was we learnt in the theory lessons, helping retain the information and understanding I also liked the structure of how the topics were arranged. Everything was very clear and well explained During the labs, I didn't like the fact that due to the difference in systems, some labs couldn't be done by everyone. For example personally I couldn't do much of the docker labs",opinion topic covered sufficient cover practically everything need know business intelligence current level although would loved spend time time series analysis forecasting opinion think topic removed liked split practicals theory gave good way practice learnt theory lesson helping retain information understanding also liked structure topic arranged everything clear well explained lab like fact due difference system lab done everyone example personally much docker lab,3,"Topic 4: topic, lab, data, practical",0.9797146942197099
10,Male,Group A,4.6364,positive,Data science and Data analysis,data science data analysis,3,"Topic 4: topic, lab, data, practical",0.7984362914838536
11,Female,Group A,4.0909,neutral,Learning kmeans Learning APIs Please have make up CATS because things genuinely happen and it's so unfair to the affected parties,learning kmeans learning apis please make cat thing genuinely happen unfair affected party,4,"Topic 5: lab, module, work, depth",0.42865675874369774
12,Male,Group A,4.6364,positive,"None, the current ones are sufficient The lecture was very practical, a clear separation of theory and the practical to further reinforce learning Introduce BI somewhere in third year, to allow students to further appreciate the unit and have a deeper understanding towards it",none current one sufficient lecture practical clear separation theory practical reinforce learning introduce somewhere third year allow student appreciate unit deeper understanding towards,3,"Topic 4: topic, lab, data, practical",0.9323804650240356
13,Male,Group A,4.3636,neutral,Artificial Intelligence Dashboarding The mode of content delivery and assessment More quizzes,artificial intelligence dashboarding mode content delivery assessment quiz,1,"Topic 2: content, slide, work, group",0.8836131939763199
